mass_A
t,x,y
1.014166667E1,-1.668090356E-1,-3.301999559E-1
1.017500000E1,-1.443589383E-1,-3.145229930E-1
1.020833333E1,-1.159852840E-1,-2.966650468E-1
1.024166667E1,-8.415514013E-2,-2.784961219E-1
1.027500000E1,-4.953613471E-2,-2.618026559E-1
1.030833333E1,-1.230531921E-2,-2.493358268E-1
1.034166667E1,2.116020178E-2,-2.395113566E-1
1.037500000E1,5.537335933E-2,-2.352538666E-1
1.040833333E1,8.748270119E-2,-2.360161718E-1
1.044166667E1,1.169327345E-1,-2.411870472E-1
1.047500000E1,1.450063221E-1,-2.488170602E-1
1.050833333E1,1.674456099E-1,-2.590484286E-1
1.054166667E1,1.836304503E-1,-2.708924100E-1
1.057500000E1,1.917838238E-1,-2.834137961E-1
1.060833333E1,1.904958629E-1,-2.949724134E-1
1.064166667E1,1.816066392E-1,-3.053111362E-1
1.067500000E1,1.654997127E-1,-3.133610257E-1
1.070833333E1,1.407638664E-1,-3.203846541E-1
1.074166667E1,1.100052276E-1,-3.246579064E-1
1.077500000E1,7.540074004E-2,-3.263865256E-1
1.080833333E1,3.701854419E-2,-3.269608026E-1
1.084166667E1,-2.788720878E-3,-3.262428944E-1
1.087500000E1,-4.190711233E-2,-3.243280016E-1
1.090833333E1,-7.993570541E-2,-3.203806635E-1
1.094166667E1,-1.145354836E-1,-3.157591231E-1
1.097500000E1,-1.452439065E-1,-3.096882112E-1
1.100833333E1,-1.696268112E-1,-3.022797788E-1
1.104166667E1,-1.878722569E-1,-2.932408028E-1
1.107500000E1,-1.983300918E-1,-2.839224301E-1
1.110833333E1,-2.002811561E-1,-2.737054074E-1
1.114166667E1,-1.940087088E-1,-2.638900725E-1
1.117500000E1,-1.796478405E-1,-2.544366234E-1
1.120833333E1,-1.586094054E-1,-2.474861116E-1
1.124166667E1,-1.319962380E-1,-2.425810583E-1
1.127500000E1,-1.007212170E-1,-2.402966945E-1
1.130833333E1,-6.853200103E-2,-2.415333209E-1
1.134166667E1,-3.420623053E-2,-2.467999048E-1
1.137500000E1,-1.059474540E-4,-2.565798205E-1
1.140833333E1,3.491354427E-2,-2.711178477E-1
1.144166667E1,6.934026533E-2,-2.885019392E-1
1.147500000E1,1.018779385E-1,-3.063237255E-1
1.150833333E1,1.301703622E-1,-3.233583474E-1
1.154166667E1,1.543855693E-1,-3.379777915E-1
1.157500000E1,1.701257110E-1,-3.495831289E-1
1.160833333E1,1.788306454E-1,-3.570689742E-1
1.164166667E1,1.789996669E-1,-3.585790612E-1
1.167500000E1,1.712424731E-1,-3.553586713E-1
1.170833333E1,1.550153224E-1,-3.469265019E-1
1.174166667E1,1.311581767E-1,-3.345324673E-1
1.177500000E1,1.024417452E-1,-3.192189733E-1
1.180833333E1,6.980853613E-2,-3.019550410E-1
1.184166667E1,3.430589329E-2,-2.844880358E-1
1.187500000E1,-2.121332749E-3,-2.683714565E-1
1.190833333E1,-3.721866392E-2,-2.562638338E-1
1.194166667E1,-7.133128295E-2,-2.480223229E-1
1.197500000E1,-1.026330905E-1,-2.436793325E-1
1.200833333E1,-1.332993695E-1,-2.418712159E-1
1.204166667E1,-1.591133063E-1,-2.432107995E-1
1.207500000E1,-1.796351693E-1,-2.466015832E-1
1.210833333E1,-1.963394404E-1,-2.436885232E-1
1.214166667E1,-1.995051632E-1,-2.612218603E-1
1.217500000E1,-1.950463632E-1,-2.662438018E-1
1.220833333E1,-1.864252428E-1,-2.770591139E-1
1.224333333E1,-1.682793698E-1,-2.850790746E-1
1.227666667E1,-1.437824072E-1,-2.936982088E-1
1.231000000E1,-1.139934061E-1,-3.019707515E-1
1.234333333E1,-8.017343110E-2,-3.090141629E-1
1.237666667E1,-4.323027331E-2,-3.151977168E-1
1.241000000E1,-5.030508123E-3,-3.205148694E-1
1.244333333E1,3.283679778E-2,-3.248944586E-1
1.247666667E1,7.072260690E-2,-3.278070700E-1
1.251000000E1,1.051346910E-1,-3.289197133E-1
1.254333333E1,1.346132048E-1,-3.280494215E-1
1.257666667E1,1.611998647E-1,-3.239288561E-1
1.261000000E1,1.772262041E-1,-3.177032098E-1
1.264333333E1,1.871263362E-1,-3.083092312E-1
1.267666667E1,1.882847781E-1,-2.971871548E-1
1.271000000E1,1.810383406E-1,-2.840001426E-1
1.274333333E1,1.658197775E-1,-2.701697142E-1
1.277666667E1,1.437094759E-1,-2.572092393E-1
1.281000000E1,1.159020090E-1,-2.462212059E-1
1.284333333E1,8.666682031E-2,-2.379645497E-1
1.287666667E1,5.398396406E-2,-2.337503229E-1
1.291000000E1,2.081547352E-2,-2.352948756E-1
1.294333333E1,-1.033513396E-2,-2.414140185E-1
1.297666667E1,-4.635293068E-2,-2.529413164E-1
1.301000000E1,-8.010168745E-2,-2.683820209E-1
