1.435,0.163,-0.346,0.383,0.007,0.44,0.02
1.468,0.152,-0.342,0.375,0.007,0.42,0.02
1.502,0.135,-0.338,0.364,0.006,0.38,0.02
1.535,0.114,-0.334,0.353,0.006,0.33,0.02
1.568,0.090,-0.331,0.343,0.006,0.27,0.02
1.602,0.063,-0.329,0.335,0.006,0.19,0.02
1.635,0.035,-0.330,0.332,0.005,0.10,0.02
1.668,0.005,-0.331,0.331,0.005,0.02,0.02
1.702,-0.025,-0.334,0.335,0.005,-0.07,0.02
1.735,-0.053,-0.339,0.343,0.006,-0.16,0.02
1.768,-0.081,-0.345,0.355,0.006,-0.23,0.02
1.802,-0.108,-0.352,0.368,0.006,-0.30,0.02
1.835,-0.133,-0.358,0.382,0.006,-0.35,0.02
1.868,-0.154,-0.364,0.395,0.007,-0.40,0.02
1.902,-0.170,-0.369,0.406,0.007,-0.43,0.02
1.935,-0.181,-0.373,0.414,0.007,-0.45,0.02
1.968,-0.185,-0.375,0.418,0.007,-0.46,0.02
2.002,-0.184,-0.376,0.418,0.007,-0.46,0.02
2.035,-0.178,-0.374,0.414,0.007,-0.44,0.02
2.068,-0.166,-0.371,0.407,0.007,-0.42,0.02
2.102,-0.149,-0.367,0.396,0.007,-0.39,0.02
2.135,-0.128,-0.361,0.383,0.006,-0.34,0.02
2.168,-0.103,-0.355,0.370,0.006,-0.28,0.02
2.202,-0.076,-0.349,0.357,0.006,-0.21,0.02
2.235,-0.047,-0.343,0.346,0.006,-0.14,0.02
2.268,-0.017,-0.339,0.339,0.005,-0.05,0.02
2.302,0.009,-0.336,0.336,0.005,0.03,0.02
2.335,0.041,-0.335,0.337,0.006,0.12,0.02
2.368,0.069,-0.335,0.342,0.006,0.20,0.02
2.402,0.093,-0.337,0.350,0.006,0.27,0.02
2.435,0.115,-0.340,0.359,0.006,0.33,0.02
2.468,0.136,-0.342,0.368,0.006,0.38,0.02
2.502,0.151,-0.345,0.377,0.007,0.41,0.02
2.535,0.161,-0.348,0.384,0.007,0.43,0.02
2.568,0.165,-0.351,0.388,0.007,0.44,0.02
2.602,0.164,-0.353,0.389,0.007,0.43,0.02
2.635,0.158,-0.355,0.388,0.007,0.42,0.02
2.668,0.146,-0.356,0.384,0.007,0.39,0.02
2.703,0.130,-0.356,0.379,0.006,0.35,0.02
2.737,0.110,-0.355,0.372,0.006,0.30,0.02
2.770,0.086,-0.354,0.364,0.006,0.24,0.02
2.803,0.059,-0.356,0.360,0.006,0.17,0.02
2.837,0.030,-0.356,0.357,0.005,0.09,0.02
2.870,-0.000,-0.358,0.358,0.005,-0.00,0.01
2.903,-0.031,-0.360,0.361,0.005,-0.08,0.01
2.937,-0.060,-0.362,0.367,0.006,-0.16,0.02
2.970,-0.088,-0.365,0.375,0.006,-0.24,0.02
3.003,-0.114,-0.367,0.385,0.006,-0.30,0.02
3.037,-0.138,-0.369,0.394,0.006,-0.36,0.02
3.070,-0.157,-0.370,0.402,0.007,-0.40,0.02
3.103,-0.173,-0.369,0.408,0.007,-0.44,0.02
3.137,-0.183,-0.368,0.410,0.007,-0.46,0.02
3.170,-0.187,-0.365,0.410,0.007,-0.47,0.02
3.203,-0.185,-0.361,0.406,0.007,-0.47,0.02
3.237,-0.178,-0.356,0.398,0.007,-0.46,0.02
3.270,-0.166,-0.351,0.388,0.007,-0.44,0.02
3.303,-0.149,-0.345,0.376,0.007,-0.41,0.02
3.337,-0.127,-0.340,0.363,0.006,-0.36,0.02
3.370,-0.103,-0.335,0.351,0.006,-0.30,0.02
3.403,-0.077,-0.331,0.340,0.006,-0.23,0.02
3.437,-0.049,-0.330,0.333,0.006,-0.15,0.02
3.470,-0.020,-0.330,0.330,0.005,-0.06,0.02
3.503,0.008,-0.332,0.332,0.005,0.02,0.02
3.537,0.038,-0.336,0.338,0.006,0.11,0.02
3.570,0.066,-0.341,0.348,0.006,0.19,0.02
3.603,0.091,-0.349,0.360,0.006,0.25,0.02
3.637,0.113,-0.356,0.374,0.006,0.31,0.02
3.670,0.132,-0.363,0.387,0.006,0.35,0.02
3.703,0.148,-0.369,0.397,0.007,0.38,0.02
3.737,0.158,-0.374,0.406,0.007,0.40,0.02
3.770,0.162,-0.377,0.411,0.007,0.41,0.02
3.803,0.160,-0.379,0.412,0.007,0.40,0.02
3.837,0.154,-0.379,0.409,0.007,0.39,0.02
3.870,0.141,-0.377,0.403,0.006,0.36,0.02
3.903,0.124,-0.374,0.394,0.006,0.32,0.02
3.937,0.103,-0.369,0.383,0.006,0.27,0.02
3.970,0.079,-0.363,0.372,0.006,0.21,0.02
4.003,0.052,-0.358,0.361,0.006,0.14,0.02
4.037,0.026,-0.352,0.353,0.005,0.07,0.02
4.070,-0.007,-0.349,0.349,0.005,-0.02,0.01
4.103,-0.036,-0.345,0.347,0.005,-0.10,0.02
4.137,-0.065,-0.342,0.348,0.006,-0.19,0.02
4.170,-0.091,-0.341,0.353,0.006,-0.26,0.02
4.203,-0.116,-0.341,0.360,0.006,-0.33,0.02
4.237,-0.138,-0.341,0.368,0.007,-0.38,0.02
4.270,-0.157,-0.342,0.376,0.007,-0.43,0.02
4.303,-0.171,-0.343,0.383,0.007,-0.46,0.02
4.337,-0.180,-0.344,0.388,0.007,-0.48,0.02
4.370,-0.184,-0.344,0.390,0.007,-0.49,0.02
