mass_A
t,x,y
6.271666667E0,1.413483351E-1,-3.437937910E-1
6.305000000E0,1.239926400E-1,-3.426002925E-1
6.338333333E0,1.030639027E-1,-3.412477804E-1
6.371666667E0,7.976612622E-2,-3.405853185E-1
6.405000000E0,5.327162710E-2,-3.413539001E-1
6.438333333E0,2.760248484E-2,-3.432512526E-1
6.471666667E0,-3.365047075E-3,-3.462732158E-1
6.505000000E0,-3.214132329E-2,-3.508888731E-1
6.538333333E0,-6.049508732E-2,-3.561923424E-1
6.571666667E0,-8.760255504E-2,-3.620553782E-1
6.605000000E0,-1.127422108E-1,-3.676472455E-1
6.638333333E0,-1.350246921E-1,-3.725936315E-1
6.671666667E0,-1.537028577E-1,-3.765343178E-1
6.705000000E0,-1.676818945E-1,-3.790125426E-1
6.738333333E0,-1.765520649E-1,-3.798600214E-1
6.771666667E0,-1.797019884E-1,-3.791146265E-1
6.805000000E0,-1.770929651E-1,-3.770134214E-1
6.838333333E0,-1.685194166E-1,-3.730497844E-1
6.871666667E0,-1.548750798E-1,-3.680142334E-1
6.905000000E0,-1.366316411E-1,-3.617358532E-1
6.938333333E0,-1.150373590E-1,-3.549383061E-1
6.971666667E0,-9.046293941E-2,-3.482539312E-1
7.005000000E0,-6.384480427E-2,-3.422205605E-1
7.038333333E0,-3.574340350E-2,-3.373223499E-1
7.071666667E0,-7.506397349E-3,-3.341107261E-1
7.105000000E0,2.205460920E-2,-3.327518870E-1
7.138333333E0,4.939668415E-2,-3.332770302E-1
7.171666667E0,7.594065962E-2,-3.352972238E-1
7.205000000E0,9.975696583E-2,-3.390136255E-1
7.240000000E0,1.206485462E-1,-3.436389929E-1
7.273333333E0,1.387319418E-1,-3.481749956E-1
7.306666667E0,1.525388441E-1,-3.525413026E-1
7.340000000E0,1.610273096E-1,-3.567690583E-1
7.373333333E0,1.642919192E-1,-3.607564027E-1
7.406666667E0,1.619728598E-1,-3.639924843E-1
7.440000000E0,1.539706013E-1,-3.662415206E-1
7.473333333E0,1.407121913E-1,-3.674190723E-1
7.506666667E0,1.227243990E-1,-3.675229425E-1
7.540000000E0,1.015856429E-1,-3.667881032E-1
7.573333333E0,7.748367816E-2,-3.655440860E-1
7.606666667E0,5.048012984E-2,-3.642000302E-1
7.640000000E0,2.334139495E-2,-3.628980683E-1
7.673333333E0,-7.049255368E-3,-3.619669767E-1
7.706666667E0,-3.578340513E-2,-3.611651782E-1
7.740000000E0,-6.396222735E-2,-3.608249137E-1
7.773333333E0,-9.080175604E-2,-3.607804558E-1
7.806666667E0,-1.149357318E-1,-3.607485873E-1
7.840000000E0,-1.360801822E-1,-3.603702721E-1
7.873333333E0,-1.534946132E-1,-3.596743925E-1
7.906666667E0,-1.664216524E-1,-3.582055845E-1
7.940000000E0,-1.742161445E-1,-3.560839941E-1
7.973333333E0,-1.767982619E-1,-3.533659896E-1
8.006666667E0,-1.738847022E-1,-3.504742095E-1
8.040000000E0,-1.656763941E-1,-3.473473893E-1
8.073333333E0,-1.524557488E-1,-3.440435384E-1
8.106666667E0,-1.350995888E-1,-3.408665939E-1
8.140000000E0,-1.137956976E-1,-3.383762484E-1
8.173333333E0,-9.004792015E-2,-3.365910767E-1
8.206666667E0,-6.417116378E-2,-3.361075313E-1
8.240000000E0,-3.664506984E-2,-3.371547515E-1
8.273333333E0,-8.707420716E-3,-3.399665044E-1
8.306666667E0,1.914025655E-2,-3.446185415E-1
8.340000000E0,4.757514335E-2,-3.499681737E-1
8.373333333E0,7.415328343E-2,-3.562706696E-1
8.406666667E0,9.844758011E-2,-3.629284326E-1
8.440000000E0,1.197244144E-1,-3.694800148E-1
8.473333333E0,1.378225389E-1,-3.750760522E-1
8.506666667E0,1.514348568E-1,-3.792888830E-1
8.540000000E0,1.596142927E-1,-3.822597326E-1
8.573333333E0,1.621264657E-1,-3.832893201E-1
8.606666667E0,1.593016733E-1,-3.825507674E-1
8.640000000E0,1.508859014E-1,-3.799856223E-1
8.673333333E0,1.372454237E-1,-3.758460013E-1
8.706666667E0,1.192463129E-1,-3.703443350E-1
8.740000000E0,9.775896712E-2,-3.639647255E-1
8.773333333E0,7.345521704E-2,-3.573550304E-1
8.806666667E0,4.657262164E-2,-3.508601275E-1
8.840000000E0,1.588113002E-2,-3.456327558E-1
8.873333333E0,-9.438208201E-3,-3.410033460E-1
8.906666667E0,-3.744692260E-2,-3.379553518E-1
8.940000000E0,-6.468853925E-2,-3.367093024E-1
8.973333333E0,-9.023607838E-2,-3.369147137E-1
9.006666667E0,-1.136646927E-1,-3.385483450E-1
9.040000000E0,-1.343114792E-1,-3.409167683E-1
9.073333333E0,-1.516592174E-1,-3.436605201E-1
9.106666667E0,-1.647065303E-1,-3.464952117E-1
9.140000000E0,-1.725549854E-1,-3.492982701E-1
9.173333333E0,-1.754056725E-1,-3.518003240E-1
9.206666667E0,-1.726147688E-1,-3.541904530E-1
9.240000000E0,-1.644829184E-1,-3.560837069E-1
9.273333333E0,-1.515265742E-1,-3.573703866E-1
9.306666667E0,-1.345039627E-1,-3.581906880E-1
9.340000000E0,-1.135652172E-1,-3.585511543E-1
9.373333333E0,-8.971542640E-2,-3.591347105E-1
9.406666667E0,-6.329126960E-2,-3.596487039E-1
9.440000000E0,-3.544220964E-2,-3.605515960E-1
9.473333333E0,-6.978460914E-3,-3.616621004E-1
9.506666667E0,2.298273742E-2,-3.635742052E-1
9.540000000E0,5.088471545E-2,-3.649583668E-1
9.575000000E0,7.767348528E-2,-3.666365937E-1
9.608333333E0,1.015700245E-1,-3.681336908E-1
9.641666667E0,1.225683149E-1,-3.689232079E-1
9.675000000E0,1.402413307E-1,-3.688384749E-1
9.708333333E0,1.530232215E-1,-3.677917299E-1
9.741666667E0,1.607581242E-1,-3.657661307E-1
9.775000000E0,1.627156596E-1,-3.627075791E-1
9.808333333E0,1.594663742E-1,-3.587888429E-1
9.841666667E0,1.509190510E-1,-3.542350384E-1
9.875000000E0,1.374393172E-1,-3.495989109E-1
9.908333333E0,1.196018149E-1,-3.446126497E-1
9.941666667E0,9.869927148E-2,-3.397977173E-1
9.975000000E0,7.499860711E-2,-3.358017470E-1
